Grand Prix,Driver,Car,Time,Name Code
Great Britain,Nino  Farina ,Alfa Romeo,1:50.600,FAR
Monaco,Juan Manuel  Fangio ,Alfa Romeo,1:51.000,FAN
Indianapolis 500,Johnnie Parsons ,Kurtis Kraft Offenhauser,,PAR
Switzerland,Nino  Farina ,Alfa Romeo,2:41.600,FAR
Belgium,Nino  Farina ,Alfa Romeo,4:34.100,FAR
France,Juan Manuel  Fangio ,Alfa Romeo,2:35.600,FAN
Italy,Juan Manuel  Fangio ,Alfa Romeo,2:00.000,FAN
Switzerland,Juan Manuel  Fangio ,Alfa Romeo,2:51.100,FAN
Indianapolis 500,Lee  Wallard ,Kurtis Kraft Offenhauser,1:07.260,WAL
Belgium,Juan Manuel  Fangio ,Alfa Romeo,4:22.100,FAN
France,Juan Manuel  Fangio ,Alfa Romeo,2:27.800,FAN
Great Britain,Nino  Farina ,Alfa Romeo,1:44.000,FAR
Germany,Juan Manuel  Fangio ,Alfa Romeo,9:55.800,FAN
Italy,Nino  Farina ,Alfa Romeo,1:56.500,FAR
Spain,Juan Manuel  Fangio ,Alfa Romeo,2:16.930,FAN
Switzerland,Piero Taruffi ,Ferrari,2:49.100,TAR
Indianapolis 500,Bill Vukovich,Kurtis Kraft Offenhauser,1:06.600,VUK
Belgium,Alberto  Ascari ,Ferrari,4:55.000,ASC
France,Alberto  Ascari ,Ferrari,2:17.300,ASC
Great Britain,Alberto  Ascari ,Ferrari,1:52.000,ASC
Germany,Alberto  Ascari ,Ferrari,10:05.100,ASC
Netherlands,Alberto  Ascari ,Ferrari,1:49.800,ASC
Italy,Alberto  Ascari ,Ferrari,2:06.100,ASC
Argentina,Alberto  Ascari ,Ferrari,1:48.400,ASC
Indianapolis 500,Bill Vukovich,Kurtis Kraft Offenhauser,1:06.240,VUK
Netherlands,Luigi Villoresi ,Ferrari,1:52.800,VIL
Belgium,Jose Froilan  Gonzalez ,Maserati,4:34.000,GON
France,Juan Manuel  Fangio ,Maserati,2:41.100,FAN
Great Britain,Alberto  Ascari ,Ferrari,1:50.000,ASC
Germany,Alberto  Ascari ,Ferrari,9:56.000,ASC
Switzerland,Alberto  Ascari ,Ferrari,2:41.300,ASC
Italy,Juan Manuel  Fangio ,Maserati,2:04.500,FAN
Argentina,Jose Froilan  Gonzalez ,Ferrari,1:48.200,GON
Indianapolis 500,Jack  McGrath ,Kurtis Kraft Offenhauser,1:04.040,MCG
Belgium,Juan Manuel  Fangio ,Maserati,4:25.500,FAN
France,Hans Herrmann ,Mercedes-Benz,2:32.900,HER
Great Britain,Alberto  Ascari ,Maserati,1:50.000,ASC
Germany,Karl  Kling ,Mercedes-Benz,9:55.100,KLI
Switzerland,Juan Manuel  Fangio ,Mercedes-Benz,2:39.700,FAN
Italy,Jose Froilan  Gonzalez ,Ferrari,2:00.800,GON
Spain,Alberto  Ascari ,Lancia,2:20.400,ASC
Argentina,Juan Manuel  Fangio ,Mercedes-Benz,1:48.300,FAN
Monaco,Juan Manuel  Fangio ,Mercedes-Benz,1:42.400,FAN
